movie_name,featurig,genre,releasing_date
Black Adam (2022),Dwayne Johnson - Sarah Shahi - Viola Davis - Pierce Brosnan,Action :  Fantasy :  Sci-Fi : ,"Oct 21, 2022"
The Banshees of Inisherin (2022),Colin Farrell - Brendan Gleeson - Kerry Condon - Barry Keoghan,Comedy :  Drama : ,"Oct 21, 2022"
Ticket to Paradise (2022),George Clooney - Sean Lynch - Julia Roberts - Arielle Carver-O'Neill,Comedy :  Romance : ,"Oct 21, 2022"
Aftersun (2022),Paul Mescal - Frankie Corio - Celia Rowlson-Hall - Kayleigh Coleman,Drama : ,"Oct 21, 2022"
My Policeman (2022),Harry Styles - Emma Corrin - Gina McKee - Linus Roache,Drama :  Romance : ,"Oct 21, 2022"
Slayers (2022),Thomas Jane - Kara Hayward - Jack Donnelly - Lydia Hearst,Comedy :  Fantasy :  Horror : ,"Oct 21, 2022"
American Murderer (2022),Tom Pelphrey - Ryan Phillippe - Idina Menzel - Paul Schneider,Crime :  Drama :  Thriller : ,"Oct 21, 2022"
Paul's Promise (2022),Ryan O'Quinn - Linda Purl - Shari Rigby - Josef Cannon,Drama :  Family : ,"Oct 21, 2022"
Prey for the Devil (2022),Jacqueline Byers - Virginia Madsen - Colin Salmon - Nicholas Ralph,Horror :  Thriller : ,"Oct 28, 2022"
Call Jane (2022),Elizabeth Banks - Sigourney Weaver - Chris Messina - Wunmi Mosaku,Drama :  History : ,"Oct 28, 2022"
The Lair (2022),Jonathan Howard - Charlotte Kirk - Jamie Bamber - Kibong Tanji,Action :  Horror : ,"Oct 28, 2022"
The Ambush (2021),Omar Bin Haider - Marwan Abdullah - Mohammed Ahmed - Mansoor Al-Fili,Action :  Drama :  War : ,"Oct 28, 2022"
My Special Boy (2022),Sammie Kahkola - Dave McRae - Chad Sumner - Andrew Devon Johnson,Horror : ,"Oct 28, 2022"
Chia Khoa Tram Ty (2022),Kieu Minh Tuan - Trang Thu - Jun Vu - Anh Tu,Action :  Comedy : ,"Oct 28, 2022"
Appetite for Sin (2022),Linnea Quigley - Devanny Pinn - Ari Lehman - Eileen Dietz,Horror : ,"Oct 31, 2022"
Housewife Alien vs. Gay Zombie (2020),Anna Walman - Hector Lopez - Anna Modén - Erik Nilsson,Comedy :  Horror : ,"Nov 01, 2022"
Fanga (2022),Andrea Snædal - Ingi Hrafn Hilmarsson - Gudmundur Thorvaldsson - Hana Vagnerová,Fantasy :  Horror : ,"Nov 01, 2022"
Awful Silence (2020),Quentin Jones - Megan Paul - Liam Wetherall - Oscar Weir,Horror : ,"Nov 01, 2022"
Entanglement (2022),Pooya Mohseni - Melanie Nicholls-King - Kaye Tuckerman - Keeley Karsten,Biography :  Comedy :  Drama : ,"Nov 01, 2022"
The Monkey King: The Legend Begins (2022),Donnie Yen - Chow Yun-Fat - Aaron Kwok - Peter Ho,Fantasy : ,"Nov 02, 2022"
Throat (2022),Madison S. Deaver - Max Raines - Madison Wyborny - Michael Dumas,Drama :  Thriller : ,"Nov 03, 2022"
Armageddon Time (2022),Anne Hathaway - Jeremy Strong - Banks Repeta - Jaylin Webb,Drama : ,"Nov 04, 2022"
Nocebo (2022),Eva Green - Mark Strong - Chai Fonacier - Billie Gadsdon,Thriller : ,"Nov 04, 2022"
Dear Zoe (2022),Sadie Sink - Theo Rossi - Jessica Capshaw - Justin Bartha,Drama : ,"Nov 04, 2022"
A Magical Christmas Village (2022),Luke Macfarlane - Marlo Thomas - Alison Sweeney - Maesa Nicholson,Comedy :  Romance : ,"Nov 04, 2022"
Soft & Quiet (2022),Jon Beavers - Stefanie Estes - Nina E. Jordan - Jayden Leavitt,Drama :  Horror :  Mystery : ,"Nov 04, 2022"
Dreams of Darkness (2022),Miles Jonn-Dalton - Pia Bertucci - Renee Domenz - Libby Amato,Horror :  Thriller : ,"Nov 05, 2022"
Spirited (2022),Ryan Reynolds - Will Ferrell - Joe Tippett - Aimee Carrero,Comedy :  Family :  Musical : ,"Nov 11, 2022"
Black Panther: Wakanda Forever (2022),Angela Bassett - Tenoch Huerta - Martin Freeman - Danai Gurira,Action :  Adventure :  Drama : ,"Nov 11, 2022"
Paradise City (2022),Bruce Willis - John Travolta - Stephen Dorff - Blake Jenner,Action :  Thriller : ,"Nov 11, 2022"
The Friendship Game (2022),Peyton List - Brendan Meyer - Jennifer Copping - Dylan Schombing,Sci-Fi : ,"Nov 11, 2022"
Fable (2022),Dominic Cipriani - Stuart Maxheimer - Monique Lopez - Rachel Renner,Fantasy : ,"Nov 12, 2022"
Filthy Animals (2022),Raymond J. Barry - Nicola Aara - Leila Perry - Hal Dion,Crime :  Drama : ,"Nov 15, 2022"
Poker Face (2022),Russell Crowe - Elsa Pataky - Liam Hemsworth - Jacqueline McKenzie,Action :  Crime :  Thriller : ,"Nov 16, 2022"
Darkness of Otherwhere (2022),Mika Hijii - Lee Murayama - Naoyuki Miyahara - Kôhei Mashiba,Mystery :  Thriller : ,"Nov 16, 2022"
The Menu (2022),Anya Taylor-Joy - Ralph Fiennes - Nicholas Hoult - John Leguizamo,Comedy :  Horror :  Thriller : ,"Nov 18, 2022"
She Said (2022),Carey Mulligan - Zoe Kazan - Patricia Clarkson - Andre Braugher,Drama : ,"Nov 18, 2022"
The Inspection (2022),Jeremy Pope - Gabrielle Union - Bokeem Woodbine - Raúl Castillo,Drama : ,"Nov 18, 2022"
Silent Life: The Story of the Lady in Black (2022),Sherilyn Fenn - Isabella Rossellini - Franco Nero - Terry Moore,Drama : ,"Nov 19, 2022"
